LABID	EID	Prueba	Dieta	Categoria	Anio	Corral	CARAVANA	RP	DMI_tot_Mean	slope	promPesos	metPMP	EG_fin	residuo_T	Pheno_RFI_medioSD	RA_DMP	Vis	Days	MeI_BW	MeI_ADG	MeY_DMI	Pheno_MeY	Ym_IPCC
PR26NR067MG	858000050107538	26	R	N	2	A	67	7434	8.35	1.48	355.5	82.2	4.6	-2.400	High_Efficiency	190.38	175	59	0.54	129.05	22.80	High_MeY	7.95
PR26NR063MG	858000050107534	26	R	N	2	A	63	7429	8.84	1.43	333.5	78.0	4.7	-1.534	High_Efficiency	197.56	166	63	0.59	113.94	20.78	High_MeY	7.58
PR26NR042MG	858000050107483	26	R	N	2	A	42	7376	8.22	1.16	321.5	76.1	2.7	-1.493	High_Efficiency	179.22	75	23	0.56	154.36	21.80	High_MeY	7.43
PR26NR026MG	858000050107413	26	R	N	2	A	26	7305	9.69	1.19	388.0	87.3	3.6	-0.925	High_Efficiency	234.25	47	19	0.60	197.26	24.17	High_MeY	8.31
PR26NR007MG	858000050107542	26	R	N	2	A	7	7438	8.77	0.73	352.5	81.3	2.7	-0.631	High_Efficiency	196.27	83	40	0.56	269.21	22.38	High_MeY	7.45
PR26NR001MG	858000050107463	26	R	N	2	A	1	7356	11.47	1.44	376.5	85.4	1.8	0.656	Low_Efficiency	196.74	135	58	0.52	136.26	17.16	Low_MeY	5.86
PR26NR069MG	858000050107520	26	R	N	2	A	69	7415	11.56	1.48	353.0	81.4	6.8	0.766	Low_Efficiency	187.55	150	59	0.53	126.72	16.22	Low_MeY	6.02
PR26NR057MG	858000050100668	26	R	N	2	A	57	7504	11.59	1.36	353.5	81.6	5.9	1.002	Low_Efficiency	183.52	112	52	0.52	134.56	15.84	Low_MeY	5.40
PR26NR056MG	858000050107509	26	R	N	2	A	56	7404	12.49	1.51	383.5	86.6	8.6	1.174	Low_Efficiency	213.52	164	63	0.56	141.04	17.09	Low_MeY	5.92
PR26NR044MG	858000050107439	26	R	N	2	A	44	7331	11.36	1.12	350.0	81.1	5	1.236	Low_Efficiency	193.09	134	47	0.55	172.07	17.00	Low_MeY	5.95
PR27NT067MG	858000050107538	27	E	N	2	A	67	7434	9.36	1.54	477.6	101.0	13.2	-2.240	High_Efficiency	209.38	114	51	0.44	135.62	22.38	High_MeY	7.85
PR27NT046MG	858000050107508	27	E	N	2	A	46	7403	11.24	1.57	537.8	110.2	12.2	-1.072	High_Efficiency	246.13	94	48	0.46	156.63	21.90	High_MeY	7.85
PR27NT012MG	858000050107551	27	E	N	2	A	12	7448	10.80	1.48	494.5	103.4	13.3	-0.846	High_Efficiency	249.05	86	46	0.50	168.69	23.06	High_MeY	8.08
PR27NT020MG	858000050107563	27	E	N	2	A	20	7459	10.80	1.36	505.5	105.9	11.7	-0.720	High_Efficiency	289.21	45	32	0.57	213.10	26.77	High_MeY	9.21
PR27NT070MG	858000050107430	27	E	N	2	A	70	7322	11.35	1.44	537.3	110.4	12.2	-0.713	High_Efficiency	259.51	123	53	0.48	180.24	22.87	High_MeY	8.00
PR27NT015MG	858000050107524	27	E	N	2	A	15	7419	13.42	1.60	552.8	113.4	15	0.684	Low_Efficiency	237.30	109	54	0.43	148.50	17.68	Low_MeY	6.40
PR27NT048MG	858000050107549	27	E	N	2	A	48	7446	13.96	1.94	532.6	110.9	14.4	0.756	Low_Efficiency	261.23	157	59	0.49	134.81	18.71	Low_MeY	6.50
PR27NT054MG	858000050107494	27	E	N	2	A	54	7388	13.95	1.60	545.8	112.5	14	1.328	Low_Efficiency	244.45	104	44	0.45	153.07	17.53	Low_MeY	5.87
PR27NT045MG	858000050100661	27	E	N	2	A	45	7497	14.16	1.73	538.8	110.4	14.9	1.382	Low_Efficiency	248.53	59	39	0.46	143.36	17.55	Low_MeY	6.08
PR27NT021MG	858000050107465	27	E	N	2	A	21	7358	14.01	1.79	524.8	108.4	11.4	1.440	Low_Efficiency	245.92	120	55	0.47	137.64	17.55	Low_MeY	5.95
